timestamp,open,high,low,close,volume
2021-12-31,1073.67,1118.9999,1053.15,1056.78,91687786
2021-12-23,910.7,1072.9767,886.12,1067,104781767
2021-12-17,1001.09,1005,909.0401,932.57,136074239
2021-12-10,1001.51,1072.38,950.5,1017.03,99585638
2021-12-03,1100.99,1172.8399,1000.21,1014.97,124636821
2021-11-26,1162.33,1201.95,1062,1081.92,103485337
2021-11-19,1017.63,1138.7199,978.6,1137.06,135304561
2021-11-12,1149.785,1197,987.31,1033.42,182318404
2021-11-05,1145,1243.49,1118.66,1222.09,178974628
2021-10-29,950.53,1115.21,944.2,1114,220925116
2021-10-22,851.79,910,851.47,909.68,109982713
2021-10-15,787.65,843.21,785.5,843.03,81512174
2021-10-08,796.5,806.9699,773.22,785.49,99483120
2021-10-01,773.12,799,763.59,775.22,109382331
2021-09-24,734.5577,774.8,718.6249,774.39,89535196
2021-09-17,740.2143,761.04,708.85,759.49,98962617
2021-09-10,740,764.45,734.5201,736.27,68094762
2021-09-03,714.715,741.99,712.73,733.57,80731775
2021-08-27,685.442,716.97,680.7505,711.92,73041547
2021-08-20,705.07,709.5,648.84,680.26,96329308
2021-08-13,710.17,729.9,699.4,717.17,72301742
2021-08-06,700,726.94,697.63,699.1,100781351
2021-07-30,650.97,697.53,627.24,687.2,133501299
2021-07-23,629.89,664.8599,621.29,643.38,80448226
2021-07-16,662.2,693.28,637.88,644.22,105114865
2021-07-09,681.7115,684,620.46,656.95,82990274
2021-07-02,671.64,700,670.32,678.9,103666230
2021-06-25,624.48,697.62,608.88,671.87,153549954
2021-06-18,612.23,628.35,593.5,623.31,107296122
2021-06-11,591.825,623.09,582.88,609.89,105306562
2021-06-04,627.8,633.8,571.22,599.05,95536458
2021-05-28,581.6,635.59,573.65,625.22,140310958
2021-05-21,575.5531,596.68,546.98,580.88,165651036
2021-05-14,664.9,665.05,559.65,589.74,189275731
2021-05-07,703.8,706,650,672.37,129938147
2021-04-30,741,749.3,666.14,709.44,152350715
2021-04-23,719.6,753.77,691.8001,729.4,170514922
2021-04-16,685.7,780.79,682.09,739.78,178634338
2021-04-09,707.71,708.16,667.84,677.02,141785455
2021-04-01,615.64,692.4203,591.01,661.75,136705010
2021-03-26,684.59,699.62,599.89,618.71,176876942
2021-03-19,694.09,713.18,624.6201,654.87,178254604
2021-03-12,600.55,717.85,558.79,693.73,249753690
2021-03-05,690.11,721.11,539.49,597.95,235272714
2021-02-26,762.64,768.5,619,675.5,217862425
2021-02-19,818,821,762.01,781.3,82596163
2021-02-12,869.67,877.77,785.3306,816.12,116303534
2021-02-05,814.29,880.5,795.5601,852.23,102112291
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
