date,close
30/12/2021,1070.34
29/12/2021,1086.19
28/12/2021,1088.47
27/12/2021,1093.94
23/12/2021,1067
22/12/2021,1008.87
21/12/2021,938.53
20/12/2021,899.94
17/12/2021,932.57
16/12/2021,926.92
15/12/2021,975.99
14/12/2021,958.51
13/12/2021,966.41
10/12/2021,1017.03
09/12/2021,1003.8
08/12/2021,1068.96
07/12/2021,1051.75
06/12/2021,1009.01
03/12/2021,1014.97
02/12/2021,1084.6
01/12/2021,1095
30/11/2021,1144.76
29/11/2021,1136.99
26/11/2021,1081.92
24/11/2021,1116
23/11/2021,1109.03
22/11/2021,1156.87
19/11/2021,1137.06
18/11/2021,1096.38
17/11/2021,1089.01
16/11/2021,1054.73
15/11/2021,1013.39
12/11/2021,1033.42
11/11/2021,1063.51
10/11/2021,1067.95
09/11/2021,1023.5
08/11/2021,1162.94
05/11/2021,1222.09
04/11/2021,1229.91
03/11/2021,1213.86
02/11/2021,1172
01/11/2021,1208.59
29/10/2021,1114
28/10/2021,1077.04
27/10/2021,1037.86
26/10/2021,1018.43
25/10/2021,1024.86
22/10/2021,909.68
21/10/2021,894
20/10/2021,865.8
19/10/2021,864.27
18/10/2021,870.11
15/10/2021,843.03
14/10/2021,818.32
13/10/2021,811.08
12/10/2021,805.72
11/10/2021,791.94
08/10/2021,785.49
07/10/2021,793.61
06/10/2021,782.75
05/10/2021,780.59
04/10/2021,781.53
01/10/2021,775.22
30/09/2021,775.48
29/09/2021,781.31
28/09/2021,777.56
27/09/2021,791.36
24/09/2021,774.39
23/09/2021,753.64
22/09/2021,751.94
21/09/2021,739.38
20/09/2021,730.17
17/09/2021,759.49
16/09/2021,756.99
15/09/2021,755.83
14/09/2021,744.49
13/09/2021,743
10/09/2021,736.27
09/09/2021,754.86
08/09/2021,753.87
07/09/2021,752.92
03/09/2021,733.57
02/09/2021,732.39
01/09/2021,734.09
31/08/2021,735.72
30/08/2021,730.91
27/08/2021,711.92
26/08/2021,701.16
25/08/2021,711.2
24/08/2021,708.49
23/08/2021,706.3
20/08/2021,680.26
19/08/2021,673.47
18/08/2021,688.99
17/08/2021,665.71
16/08/2021,686.17
13/08/2021,717.17
12/08/2021,722.25
11/08/2021,707.82
10/08/2021,709.99
09/08/2021,713.76
06/08/2021,699.1
05/08/2021,714.63
04/08/2021,710.92
03/08/2021,709.74
02/08/2021,709.67
30/07/2021,687.2
29/07/2021,677.35
28/07/2021,646.98
27/07/2021,644.78
26/07/2021,657.62
23/07/2021,643.38
22/07/2021,649.26
21/07/2021,655.29
20/07/2021,660.5
19/07/2021,646.22
16/07/2021,644.22
15/07/2021,650.6
14/07/2021,653.38
13/07/2021,668.54
12/07/2021,685.7
09/07/2021,656.95
08/07/2021,652.81
07/07/2021,644.65
06/07/2021,659.58
02/07/2021,678.9
01/07/2021,677.92
30/06/2021,679.7
29/06/2021,680.76
28/06/2021,688.72
25/06/2021,671.87
24/06/2021,679.82
23/06/2021,656.57
22/06/2021,623.71
21/06/2021,620.83
18/06/2021,623.31
17/06/2021,616.6
16/06/2021,604.87
15/06/2021,599.36
14/06/2021,617.69
11/06/2021,609.89
10/06/2021,610.12
09/06/2021,598.78
08/06/2021,603.59
07/06/2021,605.13
04/06/2021,599.05
03/06/2021,572.84
02/06/2021,605.12
01/06/2021,623.9
28/05/2021,625.22
27/05/2021,630.85
26/05/2021,619.13
25/05/2021,604.69
24/05/2021,606.44
21/05/2021,580.88
20/05/2021,586.78
19/05/2021,563.46
18/05/2021,577.87
17/05/2021,576.83
14/05/2021,589.74
13/05/2021,571.69
12/05/2021,589.89
11/05/2021,617.2
10/05/2021,629.04
07/05/2021,672.37
06/05/2021,663.54
05/05/2021,670.94
04/05/2021,673.6
03/05/2021,684.9
30/04/2021,709.44
29/04/2021,677
28/04/2021,694.4
27/04/2021,704.74
26/04/2021,738.2
23/04/2021,729.4
22/04/2021,719.69
21/04/2021,744.12
20/04/2021,718.99
19/04/2021,714.63
16/04/2021,739.78
15/04/2021,738.85
14/04/2021,732.23
13/04/2021,762.32
12/04/2021,701.98
09/04/2021,677.02
08/04/2021,683.8
07/04/2021,670.97
06/04/2021,691.62
05/04/2021,691.05
01/04/2021,661.75
31/03/2021,667.93
30/03/2021,635.62
29/03/2021,611.29
26/03/2021,618.71
25/03/2021,640.39
24/03/2021,630.27
23/03/2021,662.16
22/03/2021,670
19/03/2021,654.87
18/03/2021,653.16
17/03/2021,701.81
16/03/2021,676.88
15/03/2021,707.94
12/03/2021,693.73
11/03/2021,699.6
10/03/2021,668.06
09/03/2021,673.58
08/03/2021,563
05/03/2021,597.95
04/03/2021,621.44
03/03/2021,653.2
02/03/2021,686.44
01/03/2021,718.43
26/02/2021,675.5
25/02/2021,682.22
24/02/2021,742.02
23/02/2021,698.84
22/02/2021,714.5
19/02/2021,781.3
18/02/2021,787.38
17/02/2021,798.15
16/02/2021,796.22
12/02/2021,816.12
11/02/2021,811.66
10/02/2021,804.82
09/02/2021,849.46
08/02/2021,863.42
05/02/2021,852.23
