Cryptocurrency,Date,Price
Bitcoin,05/02/2018,6955.27001953125
Bitcoin,06/02/2018,7754.00000000000
Bitcoin,07/02/2018,7621.29980468750
Bitcoin,08/02/2018,8265.58984375000
Bitcoin,09/02/2018,8736.98046875000
Bitcoin,10/02/2018,8621.90039062500
Bitcoin,11/02/2018,8129.97021484375
Bitcoin,12/02/2018,8926.57031250000
Bitcoin,13/02/2018,8598.30957031250
Bitcoin,14/02/2018,9494.62988281250
Bitcoin,15/02/2018,10166.40039062500
Bitcoin,16/02/2018,10233.90039062500
Bitcoin,17/02/2018,11112.70019531250
Bitcoin,18/02/2018,10551.79980468750
Bitcoin,19/02/2018,11225.29980468750
Bitcoin,20/02/2018,11403.70019531250
Bitcoin,21/02/2018,10690.40039062500
Bitcoin,22/02/2018,10005.00000000000
Bitcoin,23/02/2018,10301.09960937500
Bitcoin,24/02/2018,9813.07031250000
Bitcoin,25/02/2018,9664.73046875000
Bitcoin,26/02/2018,10366.70019531250
Bitcoin,27/02/2018,10725.59960937500
Bitcoin,28/02/2018,10397.90039062500
Bitcoin,01/03/2018,10951.00000000000
Bitcoin,02/03/2018,11086.40039062500
Bitcoin,03/03/2018,11489.70019531250
Bitcoin,04/03/2018,11512.59960937500
Bitcoin,05/03/2018,11573.29980468750
Bitcoin,06/03/2018,10779.90039062500
Bitcoin,07/03/2018,9965.57031250000
Bitcoin,08/03/2018,9395.00976562500
Bitcoin,09/03/2018,9337.54980468750
Bitcoin,10/03/2018,8866.00000000000
Bitcoin,11/03/2018,9578.62988281250
Bitcoin,12/03/2018,9205.12011718750
Bitcoin,13/03/2018,9194.84960937500
Bitcoin,14/03/2018,8269.80957031250
Bitcoin,15/03/2018,8300.86035156250
Bitcoin,16/03/2018,8338.34960937500
Bitcoin,17/03/2018,7916.87988281250
Bitcoin,18/03/2018,8223.67968750000
Bitcoin,19/03/2018,8630.65039062500
Bitcoin,20/03/2018,8913.46972656250
Bitcoin,21/03/2018,8929.28027343750
Bitcoin,22/03/2018,8728.46972656250
Bitcoin,23/03/2018,8879.62011718750
Bitcoin,24/03/2018,8668.12011718750
Bitcoin,25/03/2018,8495.78027343750
Bitcoin,26/03/2018,8209.40039062500
Bitcoin,27/03/2018,7833.04003906250
Bitcoin,28/03/2018,7954.47998046875
Bitcoin,29/03/2018,7165.70019531250
Bitcoin,30/03/2018,6890.52001953125
Bitcoin,31/03/2018,6973.52978515625
Bitcoin,01/04/2018,6844.22998046875
Bitcoin,02/04/2018,7083.79980468750
Bitcoin,03/04/2018,7456.10986328125
Bitcoin,04/04/2018,6853.83984375000
Bitcoin,05/04/2018,6811.47021484375
Bitcoin,06/04/2018,6636.31982421875
Bitcoin,07/04/2018,6911.08984375000
Bitcoin,08/04/2018,7023.52001953125
Bitcoin,09/04/2018,6770.72998046875
Bitcoin,10/04/2018,6834.75976562500
Bitcoin,11/04/2018,6968.31982421875
Bitcoin,12/04/2018,7889.25000000000
Bitcoin,13/04/2018,7895.95996093750
Bitcoin,14/04/2018,7986.24023437500
Bitcoin,15/04/2018,8329.11035156250
Bitcoin,16/04/2018,8058.66992187500
Bitcoin,17/04/2018,7902.08984375000
Bitcoin,18/04/2018,8163.41992187500
Bitcoin,19/04/2018,8294.30957031250
Bitcoin,20/04/2018,8845.83007812500
Bitcoin,21/04/2018,8895.58007812500
Bitcoin,22/04/2018,8802.45996093750
Bitcoin,23/04/2018,8930.87988281250
Bitcoin,24/04/2018,9697.50000000000
Bitcoin,25/04/2018,8845.74023437500
Bitcoin,26/04/2018,9281.50976562500
Bitcoin,27/04/2018,8987.04980468750
Bitcoin,28/04/2018,9348.48046875000
Bitcoin,29/04/2018,9419.08007812500
Bitcoin,30/04/2018,9240.54980468750
Bitcoin,01/05/2018,9119.00976562500
Bitcoin,02/05/2018,9235.91992187500
Bitcoin,03/05/2018,9743.86035156250
Bitcoin,04/05/2018,9700.75976562500
Bitcoin,05/05/2018,9858.15039062500
Bitcoin,06/05/2018,9654.79980468750
Bitcoin,07/05/2018,9373.00976562500
Bitcoin,08/05/2018,9234.82031250000
Bitcoin,09/05/2018,9325.17968750000
Bitcoin,10/05/2018,9043.94042968750
Bitcoin,11/05/2018,8441.49023437500
Bitcoin,12/05/2018,8504.88964843750
Bitcoin,13/05/2018,8723.94042968750
Bitcoin,14/05/2018,8716.79003906250
Bitcoin,15/05/2018,8510.37988281250
Bitcoin,16/05/2018,8368.83007812500
Bitcoin,17/05/2018,8094.31982421875
Bitcoin,18/05/2018,8250.96972656250
Bitcoin,19/05/2018,8247.17968750000
Bitcoin,20/05/2018,8513.25000000000
Bitcoin,21/05/2018,8418.99023437500
Bitcoin,22/05/2018,8041.77978515625
Bitcoin,23/05/2018,7557.81982421875
Bitcoin,24/05/2018,7587.33984375000
Bitcoin,25/05/2018,7480.14013671875
Bitcoin,26/05/2018,7355.87988281250
Bitcoin,27/05/2018,7368.22021484375
Bitcoin,28/05/2018,7135.99023437500
Bitcoin,29/05/2018,7472.58984375000
Bitcoin,30/05/2018,7406.52001953125
Bitcoin,31/05/2018,7494.16992187500
Bitcoin,01/06/2018,7541.45019531250
Bitcoin,02/06/2018,7643.45019531250
Bitcoin,03/06/2018,7720.25000000000
Bitcoin,04/06/2018,7514.47021484375
Bitcoin,05/06/2018,7633.75976562500
Bitcoin,06/06/2018,7653.97998046875
Bitcoin,07/06/2018,7678.24023437500
Bitcoin,08/06/2018,7624.91992187500
Bitcoin,09/06/2018,7531.97998046875
