timestamp,close,volume
31/12/2021,1056.78,13466216
30/12/2021,1070.34,15680313
29/12/2021,1086.19,18718015
28/12/2021,1088.47,20107969
27/12/2021,1093.94,23715273
23/12/2021,1067,30904429
22/12/2021,1008.87,31211362
21/12/2021,938.53,23839305
20/12/2021,899.94,18826671
17/12/2021,932.57,33626754
16/12/2021,926.92,27590483
15/12/2021,975.99,25056410
14/12/2021,958.51,23602090
13/12/2021,966.41,26198502
10/12/2021,1017.03,19888122
09/12/2021,1003.8,19812832
08/12/2021,1068.96,13968790
07/12/2021,1051.75,18694857
06/12/2021,1009.01,27221037
03/12/2021,1014.97,30773995
02/12/2021,1084.6,24371623
01/12/2021,1095,22934698
30/11/2021,1144.76,27092038
29/11/2021,1136.99,19464467
26/11/2021,1081.92,11680890
24/11/2021,1116,22560238
23/11/2021,1109.03,36171700
22/11/2021,1156.87,33072509
19/11/2021,1137.06,21642258
18/11/2021,1096.38,20898930
17/11/2021,1089.01,31445365
16/11/2021,1054.73,26542359
15/11/2021,1013.39,34775649
12/11/2021,1033.42,25147852
11/11/2021,1063.51,22396568
10/11/2021,1067.95,42802722
09/11/2021,1023.5,58525547
08/11/2021,1162.94,33445715
05/11/2021,1222.09,21628812
04/11/2021,1229.91,25397410
03/11/2021,1213.86,34628519
02/11/2021,1172,42450935
01/11/2021,1208.59,54868952
29/10/2021,1114,29918417
28/10/2021,1077.04,27213173
27/10/2021,1037.86,38526459
26/10/2021,1018.43,62414968
25/10/2021,1024.86,62852099
22/10/2021,909.68,22880835
21/10/2021,894,31481454
20/10/2021,865.8,14032052
19/10/2021,864.27,17381128
18/10/2021,870.11,24207244
15/10/2021,843.03,18924567
14/10/2021,818.32,12247170
13/10/2021,811.08,14120075
12/10/2021,805.72,22020040
11/10/2021,791.94,14200322
08/10/2021,785.49,16738604
07/10/2021,793.61,19195782
06/10/2021,782.75,14632768
05/10/2021,780.59,18432625
04/10/2021,781.53,30483341
01/10/2021,775.22,17031414
30/09/2021,775.48,17955961
29/09/2021,781.31,20942877
28/09/2021,777.56,25381422
27/09/2021,791.36,28070657
24/09/2021,774.39,21373022
23/09/2021,753.64,11947527
22/09/2021,751.94,15126272
21/09/2021,739.38,16330723
20/09/2021,730.17,24757652
17/09/2021,759.49,28204176
16/09/2021,756.99,13923393
15/09/2021,755.83,15357685
